Model,Train_Source,Test_Target,F1_Score,Recall,Precision,Mean_Parasitemia_Error,Avg_Time_Per_Image_ms,Experiment
LogisticRegression,GT_Black,GT_Black,0.7900621118012422,0.7644230769230769,0.8174807197943444,0.01660571644027461,2222.999308347702,LogisticRegression_Train_GT_Black_Test_GT_Black
RandomForest,GT_Black,GT_Black,0.8401084010840109,0.7451923076923077,0.9627329192546584,0.012817115402892784,2226.306513786316,RandomForest_Train_GT_Black_Test_GT_Black
SVM,GT_Black,GT_Black,0.8685258964143426,0.7860576923076923,0.9703264094955489,0.010359277972100739,2265.248344182968,SVM_Train_GT_Black_Test_GT_Black
LogisticRegression,GT_Black,Seg_Watershed,0.47876447876447875,0.43356643356643354,0.5344827586206896,0.04358191751887326,1917.1515746116638,LogisticRegression_Train_GT_Black_Test_Seg_Watershed
RandomForest,GT_Black,Seg_Watershed,0.6139534883720931,0.46153846153846156,0.9166666666666666,0.03253493247158948,1920.478503227234,RandomForest_Train_GT_Black_Test_Seg_Watershed
SVM,GT_Black,Seg_Watershed,0.5929411764705882,0.4405594405594406,0.9064748201438849,0.034218733364311596,1941.058586359024,SVM_Train_GT_Black_Test_Seg_Watershed
LogisticRegression,GT_Original,GT_Original,0.4075342465753425,0.2860576923076923,0.7083333333333334,0.03563269306031329,2222.9259350299835,LogisticRegression_Train_GT_Original_Test_GT_Original
RandomForest,GT_Original,GT_Original,0.7445652173913043,0.6586538461538461,0.85625,0.012653406213794974,2225.1888790130615,RandomForest_Train_GT_Original_Test_GT_Original
SVM,GT_Original,GT_Original,0.6886657101865137,0.5769230769230769,0.8540925266903915,0.01851889581148922,2244.1997685432434,SVM_Train_GT_Original_Test_GT_Original
LogisticRegression,GT_Original,Seg_Hough,0.32727272727272727,0.25,0.47368421052631576,0.040492109754843277,2580.92392039299,LogisticRegression_Train_GT_Original_Test_Seg_Hough
RandomForest,GT_Original,Seg_Hough,0.673036093418259,0.587037037037037,0.7885572139303483,0.014581333679430389,2583.1912989616394,RandomForest_Train_GT_Original_Test_Seg_Hough
SVM,GT_Original,Seg_Hough,0.6135371179039302,0.5203703703703704,0.7473404255319149,0.020922456754327794,2611.4341254234314,SVM_Train_GT_Original_Test_Seg_Hough
LogisticRegression,Seg_Watershed,Seg_Watershed,0.5566600397614314,0.48951048951048953,0.6451612903225806,0.035751976414538554,1917.1584947109222,LogisticRegression_Train_Seg_Watershed_Test_Seg_Watershed
RandomForest,Seg_Watershed,Seg_Watershed,0.616822429906542,0.46153846153846156,0.9295774647887324,0.03328106782258215,1919.6509165763855,RandomForest_Train_Seg_Watershed_Test_Seg_Watershed
SVM,Seg_Watershed,Seg_Watershed,0.6407322654462243,0.48951048951048953,0.9271523178807947,0.029849847727025237,1947.8676600456238,SVM_Train_Seg_Watershed_Test_Seg_Watershed
LogisticRegression,Seg_Hough,Seg_Hough,0.14307004470938897,0.08888888888888889,0.366412213740458,0.04572686753088835,2580.924659490586,LogisticRegression_Train_Seg_Hough_Test_Seg_Hough
RandomForest,Seg_Hough,Seg_Hough,0.46173800259403375,0.3296296296296296,0.7705627705627706,0.029811221660592652,2583.2659657001495,RandomForest_Train_Seg_Hough_Test_Seg_Hough
SVM,Seg_Hough,Seg_Hough,0.5597189695550351,0.4425925925925926,0.7611464968152867,0.02421471243853373,2628.892683506012,SVM_Train_Seg_Hough_Test_Seg_Hough
